Title,Description,Rating,Rating Count,Genre,Duration
The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",9.3,2974150,Drama,PT2H22M
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,2074617,"Crime, Drama",PT2H55M
The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",9.0,2955072,"Action, Crime, Drama",PT2H32M
The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,1400134,"Crime, Drama",PT3H22M
12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,9.0,897745,"Crime, Drama",PT1H36M
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,2035390,"Adventure, Drama, Fantasy",PT3H21M
Schindler&apos;s List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,1490895,"Biography, Drama, History",PT3H15M
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,2282897,"Crime, Drama",PT2H34M
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,2065041,"Adventure, Drama, Fantasy",PT2H58M
"Il buono, il brutto, il cattivo",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,8.8,833779,"Adventure, Drama, Western",PT2H41M
Forrest Gump,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,2327026,"Drama, Romance",PT2H22M
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",8.8,1835348,"Adventure, Drama, Fantasy",PT2H59M
Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,8.8,2403842,Drama,PT2H19M
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,2622450,"Action, Adventure, Sci-Fi",PT2H28M
Star Wars: Episode V - The Empire Strikes Back,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",8.7,1414031,"Action, Adventure, Fantasy",PT2H4M
